indicator_id,milestone,area,month,skill,level,category,general_category
95,Shows interest when he/she sees his/her reflection in the mirror,Social and Emotional,6,Socializing,Intermediate,Social and emotional development,Social_Emotional
51,Distinguishes emotions by tone of voice,Social and Emotional,7,Socializing,Intermediate,Social and emotional development,Social_Emotional
108,Repeats sounds or actions that get people's attention,Social and Emotional,12,Socializing,Intermediate,Social and emotional development,Social_Emotional
340,Points to things he/she wants you to look at,Social and Emotional,13,Socializing,Intermediate,Social and emotional development,Social_Emotional
451,"Identifies the feelings of characters or people in images (e.g. ""sad"")",Social and Emotional,24,Socializing,Advanced,Social and emotional development,Social_Emotional
552,Begins a conversation with others,Social and Emotional,23,Socializing,Advanced,Social and emotional development,Social_Emotional
225,Likes to play with others,Social and Emotional,6,Stages of play,Basic,Play,Cognitive
84,Voluntarily offers his/her own toys while playing with other kids,Social and Emotional,12,Stages of play,Intermediate,Play,Cognitive
344,Has a favorite toy,Social and Emotional,13,Stages of play,Intermediate,Play,Cognitive
329,Plays simple pretend (e.g. feeding a doll),Social and Emotional,18,Stages of play,Advanced,Play,Cognitive
349,Plays alone,Social and Emotional,15,Stages of play,Intermediate,Play,Cognitive
354,Likes to play with adults,Social and Emotional,15,Stages of play,Intermediate,Play,Cognitive
454,Interacts with other kids by playing beside them,Social and Emotional,24,Stages of play,Advanced,Play,Cognitive
464,Portrays family members while playing,Social and Emotional,20,Stages of play,Advanced,Play,Cognitive
475,Starts playing make-believe (e.g. dressing up or acting like a fireman),Social and Emotional,24,Stages of play,Advanced,Play,Cognitive
113,"Pulls him/herself up to standing, holding on to furniture",Physical,9,Standing up,Basic,Standing,Locomotor
209,Goes from sitting to kneeling,Physical,9,Standing up,Basic,Standing,Locomotor
245,Remains standing while holding on to something,Physical,9,Standing up,Basic,Standing,Locomotor
297,"When crawling, stops and lays a foot on the floor to practice standing up",Physical,10,Standing up,Basic,Standing,Locomotor
208,Goes from standing to sitting without your help,Physical,12,Standing up,Intermediate,Standing,Locomotor
274,Stands up by him/herself,Physical,11,Standing up,Intermediate,Standing,Locomotor
271,Stands momentarily without support,Physical,12,Standing up,Intermediate,Standing,Locomotor
350,Stays balanced when standing,Physical,13,Standing up,Intermediate,Standing,Locomotor
325,Is able to squat down,Physical,15,Standing up,Advanced,Standing,Locomotor
459,Stays balanced while carrying out activities standing up,Physical,17,Standing up,Advanced,Standing,Locomotor
438,Goes from sitting to standing without support,Physical,18,Standing up,Advanced,Standing,Locomotor
470,Goes from squatting down to standing up,Physical,18,Standing up,Advanced,Standing,Locomotor
227,Stays seated leaning on pillows or furniture,Physical,4,Turning and Sitting,Basic,Turning and sitting,Locomotor
11,"Lying face up, stretches his/her back, extending the backbone",Physical,5,Turning and Sitting,Basic,Turning and sitting,Locomotor
33,"While lying face up, attempts to sit up when pulled by the hands",Physical,5,Turning and Sitting,Basic,Turning and sitting,Locomotor
162,"While lying face up, raises his/her head, attempting to sit up",Physical,5,Turning and Sitting,Basic,Turning and sitting,Locomotor
92,Rolls over both ways (face up to face down and face down to face up),Physical,7,Turning and Sitting,Advanced,Turning and sitting,Locomotor
121,"Remains sitting with your help, maintaining his/her torso firm",Physical,6,Turning and Sitting,Intermediate,Turning and sitting,Locomotor
151,"While lying face down, rolls to face up position",Physical,5,Turning and Sitting,Basic,Turning and sitting,Locomotor
160,"Lying face-down, rocks side to side on stomach",Physical,5,Turning and Sitting,Basic,Turning and sitting,Locomotor
118,Remains sitting without support,Physical,9,Turning and Sitting,Advanced,Turning and sitting,Locomotor
270,Goes from laying down to sitting by him/herself,Physical,9,Turning and Sitting,Advanced,Turning and sitting,Locomotor
272,Remains seated with support of his/her hands placed in front of his/her body (tripod),Physical,6,Turning and Sitting,Intermediate,Turning and sitting,Locomotor
15,"Walks by ""cruising"" or leaning on furniture",Physical,12,Walking,Basic,Walking,Locomotor
124,Walks while holding on to someone with both hands,Physical,10,Walking,Basic,Walking,Locomotor
184,Takes steps forward with little help,Physical,12,Walking,Basic,Walking,Locomotor
4,"While walking, stops to squat down to grab an object",Physical,12,Walking,Basic,Walking,Locomotor
16,Can take a few steps without support,Physical,12,Walking,Basic,Walking,Locomotor
309,Can carry an object while walking,Physical,18,Walking,Intermediate,Walking,Locomotor
324,Toddles around; legs wide apart and moving forward from side to side,Physical,13,Walking,Basic,Walking,Locomotor
382,"Walks up stairs with your help, alternating his/her feet",Physical,18,Walking,Intermediate,Walking,Locomotor
415,Walks alone,Physical,18,Walking,Intermediate,Walking,Locomotor
416,Stays balanced when walking,Physical,18,Walking,Intermediate,Walking,Locomotor
457,Goes to get objects after tossing them,Physical,18,Walking,Intermediate,Walking,Locomotor
471,"Walks down stairs with your help, alternating his/her feet",Physical,18,Walking,Intermediate,Walking,Locomotor
538,Walks up ramps,Physical,21,Walking,Advanced,Walking,Locomotor
330,"Scribbles randomly, making large shoulder movements",Physical,15,Writing and Coloring,Basic,Hand coordination,Locomotor
377,Holds a crayon with his/her whole fist,Physical,15,Writing and Coloring,Basic,Hand coordination,Locomotor
442,Paints using a paintbrush,Physical,18,Writing and Coloring,Intermediate,Hand coordination,Locomotor
481,Scribbles moving his/her hand left and right,Physical,18,Writing and Coloring,Intermediate,Hand coordination,Locomotor
516,Starts to make horizontal strokes while drawing or painting ,Physical,24,Writing and Coloring,Advanced,Hand coordination,Locomotor
518,Starts to make vertical strokes while drawing or painting ,Physical,24,Writing and Coloring,Advanced,Hand coordination,Locomotor
519,Starts to make circular strokes while drawing or painting ,Physical,24,Writing and Coloring,Advanced,Hand coordination,Locomotor
559,Traces lines drawn on a paper with his/her finger,Physical,24,Writing and Coloring,Advanced,Hand coordination,Locomotor
562,Uses crayons or brushes to trace lines drawn on a paper,Physical,24,Writing and Coloring,Advanced,Hand coordination,Locomotor
